# One row per physical asset installed at a venue.
# venue_code: must match a code in the depots_venues sheet.
# asset_type: DVR | Camera | Power Supply | Hard Drive | Cable
# label: unique human-readable identifier for this asset.
# serial_number: leave blank if unknown.
# install_date: format YYYY-MM-DD. Default 2026-01-01.
# status: Operational | Faulty | Replaced
# notes: any free-text notes.
venue_code,asset_type,label,serial_number,install_date,status,notes
P_SA02,DVR,"DVR 01/01/2026 P_SA02 #2",,2026-01-01,Operational,
P_SA02,Camera,"Camera 01/01/2026 P_SA02 #1",,2026-01-01,Operational,
P_SA02,Camera,"Camera 01/01/2026 P_SA02 #2",,2026-01-01,Operational,
P_SA02,Power Supply,"Power Supply 01/01/2026 P_SA02 #1",,2026-01-01,Operational,
P_SA02,Power Supply,"Power Supply 01/01/2026 P_SA02 #2",,2026-01-01,Operational,
P_SA02,Hard Drive,"Hard Drive 01/01/2026 P_SA02 #1",,2026-01-01,Operational,
P_SA02,Hard Drive,"Hard Drive 01/01/2026 P_SA02 #2",,2026-01-01,Operational,
P_SA02,Cable,"Cable 01/01/2026 P_SA02 #1",,2026-01-01,Operational,
P_SA02,Cable,"Cable 01/01/2026 P_SA02 #2",,2026-01-01,Operational,
P_SA03,DVR,"DVR 01/01/2026 P_SA03 #1",,2026-01-01,Operational,
P_SA03,DVR,"DVR 01/01/2026 P_SA03 #2",,2026-01-01,Operational,
P_SA03,Camera,"Camera 01/01/2026 P_SA03 #1",,2026-01-01,Operational,
P_SA03,Camera,"Camera 01/01/2026 P_SA03 #2",,2026-01-01,Operational,
P_SA03,Power Supply,"Power Supply 01/01/2026 P_SA03 #1",,2026-01-01,Operational,
P_SA03,Power Supply,"Power Supply 01/01/2026 P_SA03 #2",,2026-01-01,Operational,
P_SA03,Hard Drive,"Hard Drive 01/01/2026 P_SA03 #1",,2026-01-01,Operational,
P_SA03,Hard Drive,"Hard Drive 01/01/2026 P_SA03 #2",,2026-01-01,Operational,
P_SA03,Cable,"Cable 01/01/2026 P_SA03 #1",,2026-01-01,Operational,
P_SA03,Cable,"Cable 01/01/2026 P_SA03 #2",,2026-01-01,Operational,
P_SA04,DVR,"DVR 01/01/2026 P_SA04 #1",,2026-01-01,Operational,
P_SA04,DVR,"DVR 01/01/2026 P_SA04 #2",,2026-01-01,Operational,
P_SA04,Camera,"Camera 01/01/2026 P_SA04 #1",,2026-01-01,Operational,
P_SA04,Camera,"Camera 01/01/2026 P_SA04 #2",,2026-01-01,Operational,
P_SA04,Power Supply,"Power Supply 01/01/2026 P_SA04 #1",,2026-01-01,Operational,
P_SA04,Power Supply,"Power Supply 01/01/2026 P_SA04 #2",,2026-01-01,Operational,
P_SA04,Hard Drive,"Hard Drive 01/01/2026 P_SA04 #1",,2026-01-01,Operational,
P_SA04,Hard Drive,"Hard Drive 01/01/2026 P_SA04 #2",,2026-01-01,Operational,
P_SA04,Cable,"Cable 01/01/2026 P_SA04 #1",,2026-01-01,Operational,
P_SA04,Cable,"Cable 01/01/2026 P_SA04 #2",,2026-01-01,Operational,
P_SA05,DVR,"DVR 01/01/2026 P_SA05 #1",,2026-01-01,Operational,
P_SA05,DVR,"DVR 01/01/2026 P_SA05 #2",,2026-01-01,Operational,
P_SA05,Camera,"Camera 01/01/2026 P_SA05 #1",,2026-01-01,Operational,
P_SA05,Camera,"Camera 01/01/2026 P_SA05 #2",,2026-01-01,Operational,
P_SA05,Power Supply,"Power Supply 01/01/2026 P_SA05 #1",,2026-01-01,Operational,
P_SA05,Power Supply,"Power Supply 01/01/2026 P_SA05 #2",,2026-01-01,Operational,
P_SA05,Hard Drive,"Hard Drive 01/01/2026 P_SA05 #1",,2026-01-01,Operational,
P_SA05,Hard Drive,"Hard Drive 01/01/2026 P_SA05 #2",,2026-01-01,Operational,
P_SA05,Cable,"Cable 01/01/2026 P_SA05 #1",,2026-01-01,Operational,
P_SA05,Cable,"Cable 01/01/2026 P_SA05 #2",,2026-01-01,Operational,
P_SO01,DVR,"DVR 01/01/2026 P_SO01 #1",,2026-01-01,Operational,
P_SO01,DVR,"DVR 01/01/2026 P_SO01 #2",,2026-01-01,Operational,
P_SO01,Camera,"Camera 01/01/2026 P_SO01 #1",,2026-01-01,Operational,
P_SO01,Camera,"Camera 01/01/2026 P_SO01 #2",,2026-01-01,Operational,
P_SO01,Power Supply,"Power Supply 01/01/2026 P_SO01 #1",,2026-01-01,Operational,
P_SO01,Power Supply,"Power Supply 01/01/2026 P_SO01 #2",,2026-01-01,Operational,
P_SO01,Hard Drive,"Hard Drive 01/01/2026 P_SO01 #1",,2026-01-01,Operational,
P_SO01,Hard Drive,"Hard Drive 01/01/2026 P_SO01 #2",,2026-01-01,Operational,
P_SO01,Cable,"Cable 01/01/2026 P_SO01 #1",,2026-01-01,Operational,
P_SO01,Cable,"Cable 01/01/2026 P_SO01 #2",,2026-01-01,Operational,
P_SO02,DVR,"DVR 01/01/2026 P_SO02 #1",,2026-01-01,Operational,
P_SO02,DVR,"DVR 01/01/2026 P_SO02 #2",,2026-01-01,Operational,
P_SO02,Camera,"Camera 01/01/2026 P_SO02 #1",,2026-01-01,Operational,
P_SO02,Camera,"Camera 01/01/2026 P_SO02 #2",,2026-01-01,Operational,
P_SO02,Power Supply,"Power Supply 01/01/2026 P_SO02 #1",,2026-01-01,Operational,
P_SO02,Power Supply,"Power Supply 01/01/2026 P_SO02 #2",,2026-01-01,Operational,
P_SO02,Hard Drive,"Hard Drive 01/01/2026 P_SO02 #1",,2026-01-01,Operational,
P_SO02,Hard Drive,"Hard Drive 01/01/2026 P_SO02 #2",,2026-01-01,Operational,
P_SO02,Cable,"Cable 01/01/2026 P_SO02 #1",,2026-01-01,Operational,
P_SO02,Cable,"Cable 01/01/2026 P_SO02 #2",,2026-01-01,Operational,
P_SO03,DVR,"DVR 01/01/2026 P_SO03 #1",,2026-01-01,Operational,
P_SO03,DVR,"DVR 01/01/2026 P_SO03 #2",,2026-01-01,Operational,
P_SO03,Camera,"Camera 01/01/2026 P_SO03 #1",,2026-01-01,Operational,
P_SO03,Camera,"Camera 01/01/2026 P_SO03 #2",,2026-01-01,Operational,
P_SO03,Power Supply,"Power Supply 01/01/2026 P_SO03 #1",,2026-01-01,Operational,
P_SO03,Power Supply,"Power Supply 01/01/2026 P_SO03 #2",,2026-01-01,Operational,
P_SO03,Hard Drive,"Hard Drive 01/01/2026 P_SO03 #1",,2026-01-01,Operational,
P_SO03,Hard Drive,"Hard Drive 01/01/2026 P_SO03 #2",,2026-01-01,Operational,
P_SO03,Cable,"Cable 01/01/2026 P_SO03 #1",,2026-01-01,Operational,
P_SO03,Cable,"Cable 01/01/2026 P_SO03 #2",,2026-01-01,Operational,
P_SO04,DVR,"DVR 01/01/2026 P_SO04 #1",,2026-01-01,Operational,
P_SO04,DVR,"DVR 01/01/2026 P_SO04 #2",,2026-01-01,Operational,
P_SO04,Camera,"Camera 01/01/2026 P_SO04 #1",,2026-01-01,Operational,
P_SO04,Camera,"Camera 01/01/2026 P_SO04 #2",,2026-01-01,Operational,
P_SO04,Power Supply,"Power Supply 01/01/2026 P_SO04 #1",,2026-01-01,Operational,
P_SO04,Power Supply,"Power Supply 01/01/2026 P_SO04 #2",,2026-01-01,Operational,
P_SO04,Hard Drive,"Hard Drive 01/01/2026 P_SO04 #1",,2026-01-01,Operational,
P_SO04,Hard Drive,"Hard Drive 01/01/2026 P_SO04 #2",,2026-01-01,Operational,
P_SO04,Cable,"Cable 01/01/2026 P_SO04 #1",,2026-01-01,Operational,
P_SO04,Cable,"Cable 01/01/2026 P_SO04 #2",,2026-01-01,Operational,
P_EK01,DVR,"DVR 01/01/2026 P_EK01 #1",,2026-01-01,Operational,
P_EK01,DVR,"DVR 01/01/2026 P_EK01 #2",,2026-01-01,Operational,
P_EK01,Camera,"Camera 01/01/2026 P_EK01 #1",,2026-01-01,Operational,
P_EK01,Camera,"Camera 01/01/2026 P_EK01 #2",,2026-01-01,Operational,
P_EK01,Power Supply,"Power Supply 01/01/2026 P_EK01 #1",,2026-01-01,Operational,
P_EK01,Power Supply,"Power Supply 01/01/2026 P_EK01 #2",,2026-01-01,Operational,
P_EK01,Hard Drive,"Hard Drive 01/01/2026 P_EK01 #1",,2026-01-01,Operational,
P_EK01,Hard Drive,"Hard Drive 01/01/2026 P_EK01 #2",,2026-01-01,Operational,
P_EK01,Cable,"Cable 01/01/2026 P_EK01 #1",,2026-01-01,Operational,
P_EK01,Cable,"Cable 01/01/2026 P_EK01 #2",,2026-01-01,Operational,
P_EK02,DVR,"DVR 01/01/2026 P_EK02 #1",,2026-01-01,Operational,
P_EK02,DVR,"DVR 01/01/2026 P_EK02 #2",,2026-01-01,Operational,
P_EK02,Camera,"Camera 01/01/2026 P_EK02 #1",,2026-01-01,Operational,
P_EK02,Camera,"Camera 01/01/2026 P_EK02 #2",,2026-01-01,Operational,
P_EK02,Power Supply,"Power Supply 01/01/2026 P_EK02 #1",,2026-01-01,Operational,
P_EK02,Power Supply,"Power Supply 01/01/2026 P_EK02 #2",,2026-01-01,Operational,
P_EK02,Hard Drive,"Hard Drive 01/01/2026 P_EK02 #1",,2026-01-01,Operational,
P_EK02,Hard Drive,"Hard Drive 01/01/2026 P_EK02 #2",,2026-01-01,Operational,
P_EK02,Cable,"Cable 01/01/2026 P_EK02 #1",,2026-01-01,Operational,
P_EK02,Cable,"Cable 01/01/2026 P_EK02 #2",,2026-01-01,Operational,
P_EK03,DVR,"DVR 01/01/2026 P_EK03 #1",,2026-01-01,Operational,
P_EK03,DVR,"DVR 01/01/2026 P_EK03 #2",,2026-01-01,Operational,
P_EK03,Camera,"Camera 01/01/2026 P_EK03 #1",,2026-01-01,Operational,
P_EK03,Camera,"Camera 01/01/2026 P_EK03 #2",,2026-01-01,Operational,
P_EK03,Power Supply,"Power Supply 01/01/2026 P_EK03 #1",,2026-01-01,Operational,
P_EK03,Power Supply,"Power Supply 01/01/2026 P_EK03 #2",,2026-01-01,Operational,
P_EK03,Hard Drive,"Hard Drive 01/01/2026 P_EK03 #1",,2026-01-01,Operational,
P_EK03,Hard Drive,"Hard Drive 01/01/2026 P_EK03 #2",,2026-01-01,Operational,
P_EK03,Cable,"Cable 01/01/2026 P_EK03 #1",,2026-01-01,Operational,
P_EK03,Cable,"Cable 01/01/2026 P_EK03 #2",,2026-01-01,Operational,
P_EK04,DVR,"DVR 01/01/2026 P_EK04 #1",,2026-01-01,Operational,
P_EK04,DVR,"DVR 01/01/2026 P_EK04 #2",,2026-01-01,Operational,
P_EK04,Camera,"Camera 01/01/2026 P_EK04 #1",,2026-01-01,Operational,
P_EK04,Camera,"Camera 01/01/2026 P_EK04 #2",,2026-01-01,Operational,
P_EK04,Power Supply,"Power Supply 01/01/2026 P_EK04 #1",,2026-01-01,Operational,
P_EK04,Power Supply,"Power Supply 01/01/2026 P_EK04 #2",,2026-01-01,Operational,
P_EK04,Hard Drive,"Hard Drive 01/01/2026 P_EK04 #1",,2026-01-01,Operational,
P_EK04,Hard Drive,"Hard Drive 01/01/2026 P_EK04 #2",,2026-01-01,Operational,
P_EK04,Cable,"Cable 01/01/2026 P_EK04 #1",,2026-01-01,Operational,
P_EK04,Cable,"Cable 01/01/2026 P_EK04 #2",,2026-01-01,Operational,
